stationid,toxbatch,matrix,lab,species,dilution,treatment,concentration,concentrationunits,endpoint,labrep,result,resultunits,qacode,sampletypecode,fieldreplicate,samplecollectdate,comments,ObjectId
B18-10004,BMYT080118,Sediment Water Interface,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,4,96.3,percentage,A,Grab,1,2018/07/30 07:00:00+00,,3091
B18-10004,BMYT080118,Sediment Water Interface,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,5,68.61,percentage,A,Grab,1,2018/07/30 07:00:00+00,,3092
B18-10417,BMYT080118,Sediment Water Interface,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,1,95.37,percentage,A,Grab,1,2018/07/30 07:00:00+00,,3093
B18-10417,BMYT080118,Sediment Water Interface,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,2,97.69,percentage,A,Grab,1,2018/07/30 07:00:00+00,,3094
B18-10417,BMYT080118,Sediment Water Interface,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,3,96.76,percentage,A,Grab,1,2018/07/30 07:00:00+00,,3095
B18-10037,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3096
B18-10043,18-08-074 to -076,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,5,92.1,percentage,A,Grab,1,2018/08/14 07:00:00+00,,3097
0000,MYT090718,Reference Toxicant,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,4,mg/L,Percent normal-alive,4,93.55,percentage,A,RFNH3,1,2018/09/07 07:00:00+00,,3098
B18-10037,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3099
0000,MYT090718,Reference Toxicant,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,4,mg/L,Percent normal-alive,5,96.77,percentage,A,RFNH3,1,2018/09/07 07:00:00+00,,3100
B18-10044,18-08-074 to -076,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,1,87.2,percentage,A,Grab,1,2018/08/14 07:00:00+00,,3101
B18-10038,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3102
0000,MYT090718,Reference Toxicant,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,6,mg/L,Percent normal-alive,1,86.19,percentage,A,RFNH3,1,2018/09/07 07:00:00+00,,3103
B18-10044,18-08-074 to -076,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,2,85.2,percentage,A,Grab,1,2018/08/14 07:00:00+00,,3104
B18-10038,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3105
0000,MYT090718,Reference Toxicant,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,6,mg/L,Percent normal-alive,2,81.57,percentage,A,RFNH3,1,2018/09/07 07:00:00+00,,3106
B18-10044,18-08-074 to -076,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,3,94.6,percentage,A,Grab,1,2018/08/14 07:00:00+00,,3107
B18-10038,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3108
0000,MYT090718,Reference Toxicant,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,6,mg/L,Percent normal-alive,3,76.5,percentage,A,RFNH3,1,2018/09/07 07:00:00+00,,3109
B18-10044,18-08-074 to -076,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,4,98.5,percentage,A,Grab,1,2018/08/14 07:00:00+00,,3110
B18-10038,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3111
0000,MYT090718,Reference Toxicant,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,6,mg/L,Percent normal-alive,4,79.26,percentage,A,RFNH3,1,2018/09/07 07:00:00+00,,3112
B18-10044,18-08-074 to -076,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,5,95.1,percentage,A,Grab,1,2018/08/14 07:00:00+00,,3113
B18-10038,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,95,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3114
0000,MYT090718,Reference Toxicant,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,6,mg/L,Percent normal-alive,5,78.8,percentage,A,RFNH3,1,2018/09/07 07:00:00+00,,3115
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,0,mg/L,Percent normal-alive,1,83.25,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3116
B18-10041,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3117
0000,MYT090718,Reference Toxicant,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,8,mg/L,Percent normal-alive,1,49.8,percentage,A,RFNH3,1,2018/09/07 07:00:00+00,,3118
0000,MYT090718,Reference Toxicant,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,8,mg/L,Percent normal-alive,2,44.24,percentage,A,RFNH3,1,2018/09/07 07:00:00+00,,3119
0000,MYT090718,Reference Toxicant,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,8,mg/L,Percent normal-alive,3,43.78,percentage,A,RFNH3,1,2018/09/07 07:00:00+00,,3120
0000,MYT090718,Reference Toxicant,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,8,mg/L,Percent normal-alive,4,60.37,percentage,A,RFNH3,1,2018/09/07 07:00:00+00,,3121
0000,MYT090718,Reference Toxicant,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,8,mg/L,Percent normal-alive,5,35.48,percentage,A,RFNH3,1,2018/09/07 07:00:00+00,,3122
0000,MYT090718,Reference Toxicant,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,10,mg/L,Percent normal-alive,1,9.68,percentage,A,RFNH3,1,2018/09/07 07:00:00+00,,3123
0000,MYT090718,Reference Toxicant,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,10,mg/L,Percent normal-alive,2,8.76,percentage,A,RFNH3,1,2018/09/07 07:00:00+00,,3124
0000,MYT090718,Reference Toxicant,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,10,mg/L,Percent normal-alive,3,11.98,percentage,A,RFNH3,1,2018/09/07 07:00:00+00,,3125
0000,MYT090718,Reference Toxicant,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,10,mg/L,Percent normal-alive,4,5.99,percentage,A,RFNH3,1,2018/09/07 07:00:00+00,,3126
0000,MYT090718,Reference Toxicant,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,10,mg/L,Percent normal-alive,5,8.3,percentage,A,RFNH3,1,2018/09/07 07:00:00+00,,3127
0000,MYT090718,Reference Toxicant,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,20,mg/L,Percent normal-alive,1,0,percentage,A,RFNH3,1,2018/09/07 07:00:00+00,,3128
0000,MYT090718,Reference Toxicant,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,20,mg/L,Percent normal-alive,2,0,percentage,A,RFNH3,1,2018/09/07 07:00:00+00,,3129
0000,MYT090718,Reference Toxicant,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,20,mg/L,Percent normal-alive,3,0,percentage,A,RFNH3,1,2018/09/07 07:00:00+00,,3130
0000,MYT090718,Reference Toxicant,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,20,mg/L,Percent normal-alive,4,0,percentage,A,RFNH3,1,2018/09/07 07:00:00+00,,3131
0000,MYT090718,Reference Toxicant,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,20,mg/L,Percent normal-alive,5,0,percentage,A,RFNH3,1,2018/09/07 07:00:00+00,,3132
0000,BMYT090718,Sediment Water Interface,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,1,97.24,percentage,A,CNEG,1,2018/09/07 07:00:00+00,,3133
0000,BMYT090718,Sediment Water Interface,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,2,94.93,percentage,A,CNEG,1,2018/09/07 07:00:00+00,,3134
0000,BMYT090718,Sediment Water Interface,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,3,96.31,percentage,A,CNEG,1,2018/09/07 07:00:00+00,,3135
0000,BMYT090718,Sediment Water Interface,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,4,95.85,percentage,A,CNEG,1,2018/09/07 07:00:00+00,,3136
0000,BMYT090718,Sediment Water Interface,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,5,92.24,percentage,A,CNEG,1,2018/09/07 07:00:00+00,,3137
B18-10776,BMYT090718,Sediment Water Interface,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,1,96.31,percentage,A,Grab,1,2018/09/07 07:00:00+00,,3138
B18-10776,BMYT090718,Sediment Water Interface,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,2,98.16,percentage,A,Grab,1,2018/09/07 07:00:00+00,,3139
B18-10776,BMYT090718,Sediment Water Interface,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,3,99.54,percentage,A,Grab,1,2018/09/07 07:00:00+00,,3140
B18-10776,BMYT090718,Sediment Water Interface,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,4,97.24,percentage,A,Grab,1,2018/09/07 07:00:00+00,,3141
B18-10776,BMYT090718,Sediment Water Interface,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,5,94.47,percentage,A,Grab,1,2018/09/07 07:00:00+00,,3142
B18-10774,BMYT090718,Sediment Water Interface,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,1,95.85,percentage,A,Grab,1,2018/09/07 07:00:00+00,,3143
B18-10774,BMYT090718,Sediment Water Interface,Aquatic Bioassay and Consulting Laboratories,Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,2,94.31,percentage,A,Grab,1,2018/09/07 07:00:00+00,,3144
B18-10041,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3145
B18-10041,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,90,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3146
B18-10041,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3147
B18-10041,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,95,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3148
B18-10179,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3149
B18-10179,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,90,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3150
B18-10179,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3151
B18-10179,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,95,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3152
B18-10179,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,90,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3153
B18-10180,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,85,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3154
B18-10180,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3155
B18-10180,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3156
B18-10180,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,85,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3157
B18-10180,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,95,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3158
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,0,mg/L,Percent normal-alive,2,79.8,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3159
B18-10181,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,95,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3160
B18-10181,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3161
B18-10181,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,90,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3162
B18-10181,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3163
B18-10181,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,85,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3164
B18-10042,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,90,percentage,A,Grab,1,2018/08/01 07:00:00+00,,3165
B18-10042,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,95,percentage,A,Grab,1,2018/08/01 07:00:00+00,,3166
B18-10042,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,95,percentage,A,Grab,1,2018/08/01 07:00:00+00,,3167
B18-10042,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,95,percentage,A,Grab,1,2018/08/01 07:00:00+00,,3168
B18-10042,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,85,percentage,A,Grab,1,2018/08/01 07:00:00+00,,3169
B18-10085,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,95,percentage,A,Grab,1,2018/08/01 07:00:00+00,,3170
B18-10085,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,100,percentage,A,Grab,1,2018/08/01 07:00:00+00,,3171
B18-10085,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,100,percentage,A,Grab,1,2018/08/01 07:00:00+00,,3172
B18-10085,18-08-053 to -063,Whole Sediment,"AMEC, Foster, & Wheeler / WOOD",Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,100,percentage,A,Grab,1,2018/08/01 07:00:00+00,,3173
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,0,mg/L,Percent normal-alive,3,0,percentage,X,RFNH3,1,2018/08/17 07:00:00+00,"vial likely contaminated; excluded",3174
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,0,mg/L,Percent normal-alive,4,85.71,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3175
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,0,mg/L,Percent normal-alive,5,87.68,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3176
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,2,mg/L,Percent normal-alive,1,73.4,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3177
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,2,mg/L,Percent normal-alive,2,89.1,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3178
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,2,mg/L,Percent normal-alive,3,87.92,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3179
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,2,mg/L,Percent normal-alive,4,70.44,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3180
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,2,mg/L,Percent normal-alive,5,75.37,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3181
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,4,mg/L,Percent normal-alive,1,87.25,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3182
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,4,mg/L,Percent normal-alive,2,77.83,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3183
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,4,mg/L,Percent normal-alive,3,88.99,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3184
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,4,mg/L,Percent normal-alive,4,81.28,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3185
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,4,mg/L,Percent normal-alive,5,67.98,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3186
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,6,mg/L,Percent normal-alive,1,49.26,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3187
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,6,mg/L,Percent normal-alive,2,54.68,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3188
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,6,mg/L,Percent normal-alive,3,72.06,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3189
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,6,mg/L,Percent normal-alive,4,60.1,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3190
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,6,mg/L,Percent normal-alive,5,67.98,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3191
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,8,mg/L,Percent normal-alive,1,29.06,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3192
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,8,mg/L,Percent normal-alive,2,57.64,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3193
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,8,mg/L,Percent normal-alive,3,52.22,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3194
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,8,mg/L,Percent normal-alive,4,43.84,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3195
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,8,mg/L,Percent normal-alive,5,52.22,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3196
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,10,mg/L,Percent normal-alive,1,2.46,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3197
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,10,mg/L,Percent normal-alive,2,0,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3198
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,10,mg/L,Percent normal-alive,3,0,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3199
0000,180817mgrd,Reference Toxicant,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,10,mg/L,Percent normal-alive,4,0.49,percentage,A,RFNH3,1,2018/08/17 07:00:00+00,,3200
B18-10037,18-08-042 to -052,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,1,86.2,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3201
B18-10037,18-08-042 to -052,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,2,79.9,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3202
B18-10037,18-08-042 to -052,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,3,75.9,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3203
B18-10037,18-08-042 to -052,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,4,86.6,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3204
B18-10037,18-08-042 to -052,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,5,77.7,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3205
B18-10038,18-08-042 to -052,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,1,1.3,percentage,O,Grab,1,2018/07/31 07:00:00+00,outlier according to Grubbs test,3206
B18-10038,18-08-042 to -052,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,2,75,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3207
B18-10038,18-08-042 to -052,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,3,84.8,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3208
B18-10038,18-08-042 to -052,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,4,80.4,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3209
B18-10038,18-08-042 to -052,Sediment Water Interface,"AMEC, Foster, & Wheeler / WOOD",Mytilus galloprovincialis,-88,None,-88,Not Recorded,Percent normal-alive,5,77.7,percentage,A,Grab,1,2018/07/31 07:00:00+00,,3210
